strategy,modal,avg profit day %,avg profit month %,avg profit years %,Total ROI,Total Net Profit,Profit ($),Loss ($),max drawdown %,lose rate %,Asset Pair,Simulation Duration,timestamp
GEMINIPRO,$100.00,0.0193%,0.5883%,7.0593%,7.2284%,$7.23,$885.44,$878.21,26.00%,49.92%,BTC/USDT,374 Days,2026-03-22 21:43:59
GEMINIFLASH,$100.00,0.0689%,2.0977%,25.1701%,25.4974%,$25.50,$121.87,$96.37,12.88%,65.33%,BTC/USDT,370 Days,2026-03-22 21:44:07
CLAUDE-SONNET-4.6,$100.00,0.0043%,0.1311%,1.5726%,1.6103%,$1.61,$895.33,$893.72,24.49%,50.27%,BTC/USDT,374 Days,2026-03-22 21:44:14
CLAUDE-OPUS-4.6,$100.00,0.2461%,7.4913%,89.8877%,92.0411%,$92.04,$1131.53,$1039.48,12.50%,48.53%,BTC/USDT,374 Days,2026-03-22 21:44:27
CLAUDE-OPUS-4.6-V2,$100.00,0.3463%,10.5408%,126.4789%,129.5089%,$129.51,$1321.14,$1191.63,9.78%,48.19%,BTC/USDT,374 Days,2026-03-22 21:44:38
CHATGPT,$100.00,0.2461%,7.4913%,89.8877%,92.0411%,$92.04,$1131.53,$1039.48,12.50%,48.53%,BTC/USDT,374 Days,2026-03-22 21:44:44
GROK,$100.00,-0.0312%,-0.9501%,-11.4005%,-11.6424%,$-11.64,$611.60,$623.24,24.20%,50.82%,BTC/USDT,373 Days,2026-03-22 21:44:51
CLAUDE-OPUS-4.6-V2,$100.00,0.3463%,10.5408%,126.4789%,129.5089%,$129.51,$1321.14,$1191.63,9.78%,48.19%,BTC/USDT,374 Days,2026-03-22 21:48:07
CLAUDE-OPUS-4.6-V2,$9.00,0.3463%,10.5408%,126.4789%,129.5089%,$11.66,$118.90,$107.25,9.78%,48.19%,BTC/USDT,374 Days,2026-03-22 21:48:15
CLAUDE-OPUS-4.6-V2,$50.00,0.3463%,10.5408%,126.4789%,129.5089%,$64.75,$660.57,$595.81,9.78%,48.19%,BTC/USDT,374 Days,2026-03-22 21:51:16
GEMINI-CODEAGENT,$100.00,-0.0841%,-2.5604%,-30.7223%,-31.3742%,$-31.37,$652.99,$684.36,35.63%,50.30%,BTC/USDT,373 Days,2026-03-22 22:26:47
GEMINI-CODEAGENT,$100.00,-0.0090%,-0.2727%,-3.2719%,-3.3503%,$-3.35,$781.14,$784.49,36.53%,50.20%,BTC/USDT,374 Days,2026-03-22 22:46:21
GEMINI-CODEAGENT,$100.00,0.2225%,6.7716%,81.2523%,83.1988%,$83.20,$1225.98,$1142.78,12.00%,48.83%,BTC/USDT,374 Days,2026-03-22 22:54:29
CLAUDE-OPUS-4.6-V2,$100.00,0.3463%,10.5408%,126.4789%,129.5089%,$129.51,$1321.14,$1191.63,9.78%,48.19%,BTC/USDT,374 Days,2026-03-23 02:22:45
CHATGPT-V2,$100.00,0.2200%,6.6981%,80.3703%,82.2957%,$82.30,$1217.58,$1135.28,12.00%,48.79%,BTC/USDT,374 Days,2026-03-23 02:22:54
CLAUDE-OPUS-4.6-V2,$100.00,0.3463%,10.5408%,126.4789%,129.5089%,$129.51,$1321.14,$1191.63,9.78%,48.19%,BTC/USDT,374 Days,2026-03-23 02:23:53
CHATGPT-V2,$100.00,0.2200%,6.6981%,80.3703%,82.2957%,$82.30,$1217.58,$1135.28,12.00%,48.79%,BTC/USDT,374 Days,2026-03-23 02:44:23
CLAUDE-OPUS-4.6-V2,$100.00,0.3463%,10.5408%,126.4789%,129.5089%,$129.51,$1321.14,$1191.63,9.78%,48.19%,BTC/USDT,374 Days,2026-03-23 02:46:48
CLAUDE-SONNET-4.6-V2,$100.00,0.1263%,3.8457%,46.1442%,47.2496%,$47.25,$1091.54,$1044.29,16.32%,49.27%,BTC/USDT,374 Days,2026-03-23 02:50:24
