strategy,modal,avg profit day %,avg profit month %,avg profit years %,Total ROI,Total Net Profit,Profit ($),Loss ($),max drawdown %,lose rate %,Asset Pair,Simulation Duration,timestamp
GEMINIPRO,$100.00,0.1267%,3.8565%,11.6558%,11.6558%,$11.66,$1481.28,$1469.62,10.52%,50.79%,BTC/USDT,92 Days,2026-03-22 23:29:08
GEMINIFLASH,$100.00,-0.0090%,-0.2750%,-0.8313%,-0.8313%,$-0.83,$169.23,$170.06,9.31%,69.71%,BTC/USDT,92 Days,2026-03-22 23:29:46
GEMINI-CODEAGENT,$100.00,-0.0841%,-2.5600%,-7.7371%,-7.7371%,$-7.74,$1345.97,$1353.71,13.78%,51.12%,BTC/USDT,92 Days,2026-03-22 23:30:26
CLAUDE-SONNET-4.6,$100.00,0.2546%,7.7497%,23.4222%,23.4222%,$23.42,$1568.45,$1545.03,6.90%,50.86%,BTC/USDT,92 Days,2026-03-22 23:31:13
CLAUDE-SONNET-4.6,$100.00,0.2546%,7.7497%,23.4222%,23.4222%,$23.42,$1568.45,$1545.03,6.90%,50.86%,BTC/USDT,92 Days,2026-03-22 23:32:24
CLAUDE-OPUS-4.6,$100.00,-0.1770%,-5.3872%,-16.2818%,-16.2818%,$-16.28,$1261.19,$1277.47,19.01%,51.17%,BTC/USDT,92 Days,2026-03-22 23:33:31
CLAUDE-OPUS-4.6,$100.00,-0.1770%,-5.3872%,-16.2818%,-16.2818%,$-16.28,$1261.19,$1277.47,19.01%,51.17%,BTC/USDT,92 Days,2026-03-22 23:35:51
CLAUDE-OPUS-4.6-V2,$100.00,-0.2201%,-6.6996%,-20.2485%,-20.2485%,$-20.25,$1131.75,$1152.00,27.23%,51.17%,BTC/USDT,92 Days,2026-03-22 23:36:41
CHATGPT,$100.00,-0.1770%,-5.3872%,-16.2818%,-16.2818%,$-16.28,$1261.19,$1277.47,19.01%,51.17%,BTC/USDT,92 Days,2026-03-22 23:37:09
CHATGPT-V2,$100.00,-0.0761%,-2.3156%,-6.9986%,-6.9986%,$-7.00,$1353.75,$1360.74,13.78%,51.11%,BTC/USDT,92 Days,2026-03-22 23:50:33
GROK,$100.00,0.0573%,1.7446%,4.4703%,4.4703%,$4.47,$108.76,$104.29,6.49%,49.79%,BTC/USDT,78 Days,2026-03-22 23:50:57
GROK,$100.00,0.0573%,1.7446%,4.4703%,4.4703%,$4.47,$108.76,$104.29,6.49%,49.79%,BTC/USDT,78 Days,2026-03-22 23:51:24
CLAUDE-SONNET-4.6-V2,$100.00,0.3039%,9.2493%,27.9545%,27.9545%,$27.95,$1502.46,$1474.51,11.50%,51.00%,BTC/USDT,92 Days,2026-03-23 02:51:04
